 Catch_2004_1 Catch_2005_1 Catch_2006_1 Catch_2007_1  Catch_2004_2 Catch_2005_2 Catch_2006_2 Catch_2007_2  Catch_2004_3 Catch_2005_3 Catch_2006_3 Catch_2007_3  Catch_2004_4 Catch_2005_4 Catch_2006_4 Catch_2007_4  Catch_2004_5 Catch_2005_5 Catch_2006_5 Catch_2007_5  Catch_2004_6 Catch_2005_6 Catch_2006_6 Catch_2007_6  Catch_2004_7 Catch_2005_7 Catch_2006_7 Catch_2007_7  Catch_2004_8 Catch_2005_8 Catch_2006_8 Catch_2007_8  Catch_2004_9 Catch_2005_9 Catch_2006_9 Catch_2007_9  Catch_2004_10 Catch_2005_10 Catch_2006_10 Catch_2007_10  Catch_2004_11 Catch_2005_11 Catch_2006_11 Catch_2007_11  Catch_2004_12 Catch_2005_12 Catch_2006_12 Catch_2007_12  
 0 0 0 0  34754.3 46965.6 53445.3 0  69508.5 90126.6 98225.5 0  104263 129483 134945 0  139017 165035 164208 0  173771 196783 186619 0  208526 224726 202783 0  243280 248864 213304 0  278034 269198 218786 0  312788 285728 219833 0  347543 298453 217051 0  382297 307373 211044 0 
 0 0 0 0  33734.9 46840 51650.8 0  67469.8 89965.7 94657.2 0  101205 129377 129614 0  134940 165074 157115 0  168675 197057 177755 0  202409 225325 192129 0  236144 249879 200831 0  269879 270719 204456 0  303614 287844 203599 0  337349 301255 198854 0  371084 310952 190815 0 
 0 0 0 0  33554.7 44095.7 49728 0  67109.4 84525.1 91209.2 0  100664 121288 125027 0  134219 154385 151763 0  167774 183815 172003 0  201328 209578 186327 0  234883 231676 195320 0  268438 250107 199565 0  301992 264871 199644 0  335547 275969 196140 0  369102 283401 189638 0 
 0 0 0 0  36740.3 47985.4 52769.1 0  73480.6 91981.5 96597.3 0  110221 131988 132116 0  146961 168006 159955 0  183701 200034 180747 0  220442 228073 195122 0  257182 252122 203711 0  293922 272183 207146 0  330663 288253 206058 0  367403 300335 201077 0  404143 308427 192835 0 
 0 0 0 0  45999.7 62937.6 72839.3 0  91999.4 120885 134105 0  137999 173841 184590 0  183999 221807 225086 0  229998 264782 256385 0  275998 302767 279280 0  321998 335761 294564 0  367997 363764 303028 0  413997 386777 305465 0  459997 404799 302668 0  505996 417830 295427 0 
 0 0 0 0  46513 62467.2 70279.7 0  93026 119937 129076 0  139539 172410 177177 0  186052 219886 215373 0  232565 262365 244452 0  279078 299847 265203 0  325591 332331 278415 0  372104 359819 284876 0  418617 382309 285377 0  465130 399803 280704 0  511643 412299 271649 0 
 0 0 0 0  35206.8 49109.3 58874 0  70413.7 94425.7 108825 0  105620 135949 150455 0  140827 173680 184364 0  176034 207618 211152 0  211241 237763 231421 0  246448 264116 245771 0  281655 286675 254803 0  316861 305442 259117 0  352068 320416 259314 0  387275 331597 255996 0 
 0 0 0 0  29595.7 42580.8 55018.2 0  59191.5 81941.1 102354 0  88787.2 118081 142521 0  118383 151000 176032 0  147979 180699 203398 0  177574 207177 225134 0  207170 230434 241751 0  236766 250471 253764 0  266362 267288 261683 0  295957 280884 266023 0  325553 291259 267296 0 
 0 0 0 0  37352.5 51711.9 70157.2 0  74705 99395.9 131069 0  112058 143052 183368 0  149410 182680 227691 0  186763 218280 264670 0  224115 249852 294941 0  261468 277396 319137 0  298820 300913 337894 0  336173 320401 351845 0  373525 335861 361624 0  410878 347294 367866 0 
 0 0 0 0  31605.4 43039.9 59728.9 0  63210.8 82663.2 111724 0  94816.2 118870 156524 0  126422 151661 194668 0  158027 181034 226696 0  189632 206992 253148 0  221238 229533 274562 0  252843 248657 291478 0  284449 264365 304435 0  316054 276657 313972 0  347659 285532 320629 0 
 0 0 0 0  24730.2 33751.7 43826.2 0  49460.5 64806.2 81474.9 0  74190.7 93163.5 113377 0  98920.9 118823 139963 0  123651 141786 161664 0  148381 162052 178910 0  173112 179620 192134 0  197842 194491 201764 0  222572 206665 208233 0  247302 216141 211971 0  272033 222920 213409 0 
 0 0 0 0  28172.9 38749.9 51429 0  56345.8 74478.7 95952 0  84518.7 107186 134045 0  112692 136873 166185 0  140865 163538 192848 0  169037 187182 214510 0  197210 207805 231648 0  225383 225407 244738 0  253556 239987 254255 0  281729 251547 260678 0  309902 260085 264481 0 
 0 0 0 0  28252.4 38383.4 47990.1 0  56504.8 73707.5 88962.9 0  84757.2 105972 123405 0  113010 135178 151802 0  141262 161324 174641 0  169514 184411 192409 0  197767 204438 205591 0  226019 221407 214675 0  254272 235316 220147 0  282524 246166 222493 0  310776 253956 222199 0 
 0 0 0 0  36326.3 48810.3 62358.1 0  72652.7 93703.5 115898 0  108979 134680 161236 0  145305 171739 198991 0  181632 204881 229780 0  217958 234106 254221 0  254284 259414 272932 0  290611 280805 286529 0  326937 298279 295631 0  363263 311836 300855 0  399590 321476 302818 0 
 0 0 0 0  41867 51974.7 59744.8 0  83733.9 99406.5 109671 0  125601 142295 150496 0  167468 180641 182939 0  209335 214444 207716 0  251202 243704 225547 0  293069 268421 237148 0  334936 288595 243238 0  376803 304225 244535 0  418670 315313 241757 0  460537 321858 235622 0 
 0 0 0 0  49453.5 62462.1 70714.5 0  98907 119611 129756 0  148360 171447 177961 0  197814 217970 216166 0  247267 259180 245205 0  296721 295077 265915 0  346174 325661 279132 0  395628 350931 285691 0  445081 370889 286429 0  494535 385534 282182 0  543988 394865 273784 0 
 0 0 0 0  51825.2 63947 73617.8 0  103650 122328 135270 0  155476 175142 185827 0  207301 222390 226161 0  259126 264071 257141 0  310951 300187 279641 0  362776 330735 294529 0  414602 355718 302678 0  466427 375134 304958 0  518252 388984 302240 0  570077 397267 295396 0 
 0 0 0 0  39697 49691.3 57292.9 0  79393.9 95119.4 105296 0  119091 136284 144679 0  158788 173186 176108 0  198485 205825 200252 0  238182 234200 217780 0  277879 258312 229360 0  317576 278161 235660 0  357273 293747 237348 0  396970 305070 235093 0  436667 312129 229563 0 
 0 0 0 0  47439.1 58381 62609.9 0  94878.3 111696 114299 0  142317 159946 155856 0  189757 203131 188073 0  237196 241250 211739 0  284635 274303 227645 0  332074 302291 236579 0  379513 325214 239333 0  426952 343071 236696 0  474391 355862 229459 0  521830 363588 218411 0 
 0 0 0 0  46971.2 57865 64061 0  93942.4 110691 117272 0  140914 158477 160421 0  187885 201225 194297 0  234856 238933 219686 0  281827 271602 237376 0  328798 299232 248156 0  375770 321823 252814 0  422741 339374 252136 0  469712 351887 246912 0  516683 359360 237928 0 
 0 0 0 0  41654.4 54876.1 63015.5 0  83308.8 105311 116043 0  124963 151305 159776 0  166618 192858 194909 0  208272 229969 222135 0  249926 262640 242149 0  291581 290869 255645 0  333235 314658 263316 0  374890 334005 265856 0  416544 348911 263959 0  458199 359376 258320 0 
 0 0 0 0  34323.9 49111.8 60123.1 0  68647.8 94583.1 111453 0  102972 136414 154565 0  137296 174604 190034 0  171620 209153 218435 0  205943 240062 240343 0  240267 267330 256333 0  274591 290958 266979 0  308915 310945 272856 0  343239 327291 274540 0  377563 339997 272606 0 
 0 0 0 0  31215.7 43180.2 51590.9 0  62431.5 83027.1 95420.1 0  93647.2 119541 132010 0  124863 152721 161883 0  156079 182568 185561 0  187294 209082 203567 0  218510 232263 216424 0  249726 252110 224652 0  280942 268624 228776 0  312157 281805 229317 0  343373 291653 226798 0 
 0 0 0 0  32591.7 46683.8 56376.6 0  65183.4 89873.8 104424 0  97775.2 129570 144693 0  130367 165773 177733 0  162959 198482 204097 0  195550 227697 224335 0  228142 253418 238996 0  260734 275646 248633 0  293325 294380 253795 0  325917 309621 255034 0  358509 321367 252901 0 
 0 0 0 0  27913 41849.5 56461.7 0  55826 80703.4 105632 0  83739 116562 147985 0  111652 149424 183992 0  139565 179291 214126 0  167478 206162 238860 0  195391 230038 258667 0  223304 250917 274020 0  251217 268801 285390 0  279130 283690 293251 0  307043 295583 298076 0 
 0 0 0 0  30059.7 40325.3 51291.2 0  60119.4 77446.5 95305.7 0  90179.1 111363 132543 0  120239 142076 163501 0  150298 169585 188679 0  180358 193890 208577 0  210418 214990 223692 0  240478 232886 234526 0  270537 247578 241575 0  300597 259066 245340 0  330657 267350 246319 0 
 0 0 0 0  19585.4 30047.8 45540.3 0  39170.8 57991.7 85891.4 0  58756.3 83831.8 121386 0  78341.7 107568 152358 0  97927.1 129200 179141 0  117513 148728 202066 0  137098 166153 221468 0  156683 181473 237679 0  176269 194690 251032 0  195854 205802 261862 0  215440 214811 270500 0 
 0 0 0 0  36988.2 50628.8 69675.5 0  73976.4 97306.1 130252 0  110965 140032 182346 0  147953 178806 226576 0  184941 213629 263560 0  221929 244501 293913 0  258917 271420 318255 0  295906 294389 337203 0  332894 313406 351374 0  369882 328471 361385 0  406870 339585 367854 0 
 0 0 0 0  42679.8 57490.1 63534.5 0  85359.6 110411 116565 0  128039 158761 159809 0  170719 202542 193983 0  213399 241754 219806 0  256079 276396 237993 0  298759 306468 249263 0  341438 331970 254333 0  384118 352903 253921 0  426798 369266 248742 0  469478 381059 239516 0 
 0 0 0 0  44429.9 56785.6 63422.6 0  88859.8 108842 116381 0  133290 156170 159610 0  177720 198768 193846 0  222149 236637 219823 0  266579 269778 238276 0  311009 298189 249941 0  355439 321871 255552 0  399869 340824 255845 0  444299 355048 251555 0  488729 364543 243417 0 
 0 0 0 0  37084.7 47518.8 53493.7 0  74169.4 91040.2 98172.4 0  111254 130564 134662 0  148339 166090 163589 0  185424 197619 185578 0  222508 225151 201257 0  259593 248684 211251 0  296678 268221 216187 0  333762 283760 216689 0  370847 295301 213385 0  407932 302845 206901 0 
 0 0 0 0  47333.5 65634.3 74438.4 0  94667 126176 136971 0  142001 181626 188399 0  189334 231983 229527 0  236668 277247 261157 0  284001 317419 284091 0  331335 352499 299133 0  378668 382486 307084 0  426002 407381 308748 0  473335 427183 304928 0  520669 441893 296425 0 
 0 0 0 0  47899.4 65104 74433.8 0  95798.9 125135 137049 0  143698 180093 188641 0  191598 229979 230006 0  239497 274792 261937 0  287397 314531 285232 0  335296 349198 300685 0  383196 378792 309091 0  431095 403314 311246 0  478994 422762 307945 0  526894 437138 299983 0 
 0 0 0 0  31632.1 43515.7 54384.4 0  63264.2 83690.2 100904 0  94896.3 120524 140084 0  126528 154016 172452 0  158160 184167 198534 0  189793 210978 218855 0  221425 234447 233943 0  253057 254575 244324 0  284689 271362 250524 0  316321 284807 253069 0  347953 294912 252486 0 
 0 0 0 0  35471.1 49875.7 58221.4 0  70942.2 95957.8 107400 0  106413 138246 148136 0  141884 176741 181033 0  177355 211442 206691 0  212827 242350 225714 0  248298 269463 238701 0  283769 292783 246256 0  319240 312310 248980 0  354711 328043 247475 0  390182 339982 242342 0 
 0 0 0 0  28600.4 40821.7 49857.6 0  57200.9 78574.2 92311.3 0  85801.3 113257 127851 0  114402 144871 156966 0  143002 173416 180146 0  171603 198891 197880 0  200203 221297 210659 0  228804 240633 218971 0  257404 256901 223307 0  286004 270099 224156 0  314605 280228 222007 0 
 0 0 0 0  29790.5 41987.4 51872.6 0  59581 80786 96172.5 0  89371.5 116396 133406 0  119162 148817 164079 0  148953 178049 188699 0  178743 204092 207770 0  208534 226947 221800 0  238324 246612 231295 0  268115 263089 236761 0  297905 276377 238704 0  327696 286476 237631 0 
 0 0 0 0  32941.1 44890.1 62505.7 0  65882.2 86206.4 116884 0  98823.3 123949 163701 0  131764 158118 203523 0  164706 188713 236916 0  197647 215734 264448 0  230588 239182 286684 0  263529 259056 304192 0  296470 275356 317537 0  329411 288082 327285 0  362352 297234 334004 0 
 0 0 0 0  27914 38059.9 50732.2 0  55828 73116.7 94644.7 0  83742 105170 132209 0  111656 134220 163898 0  139570 160268 190183 0  167484 183311 211536 0  195398 203352 228429 0  223312 220390 241333 0  251226 234424 250721 0  279140 245455 257065 0  307054 253483 260836 0 
 0 0 0 0  36863.7 49403 61480.1 0  73727.3 94856.6 114028 0  110591 136361 158262 0  147455 173916 194800 0  184318 207521 224262 0  221182 237177 247266 0  258046 262884 264430 0  294909 284642 276373 0  331773 302450 283713 0  368637 316308 287070 0  405500 326218 287061 0 
 0 0 0 0  40900.2 50517.4 67079.4 0  81800.5 96678.6 124743 0  122701 138484 173670 0  163601 175932 214540 0  204501 209025 248033 0  245401 237761 274829 0  286302 262142 295607 0  327202 282166 311048 0  368102 297834 321831 0  409002 309145 328635 0  449903 316101 332141 0 
 0 0 0 0  40315.5 47894.2 56320 0  80631 91487.9 103629 0  120947 130781 142596 0  161262 165773 173887 0  201578 196465 198172 0  241893 222857 216118 0  282209 244947 228393 0  322524 262737 235666 0  362840 276227 238604 0  403155 285416 237875 0  443471 290304 234148 0 
 0 0 0 0  29465.8 35092.3 41453.3 0  58931.6 67004.1 76224.4 0  88397.5 95735.3 104812 0  117863 121286 127716 0  147329 143656 145435 0  176795 162845 158467 0  206261 178854 167312 0  235727 191682 172470 0  265192 201330 174438 0  294658 207797 173716 0  324124 211083 170803 0 
 0 0 0 0  25209.1 30259 35594.2 0  50418.2 57805.1 65444.4 0  75627.3 82638.1 89976.5 0  100836 104758 109617 0  126045 124165 124791 0  151255 140859 135925 0  176464 154840 143446 0  201673 166108 147779 0  226882 174663 149351 0  252091 180505 148587 0  277300 183635 145914 0 
 0 0 0 0  25982.7 32904.7 40323.7 0  51965.4 63017.8 74541.5 0  77948.1 90339.3 103092 0  103931 114869 126413 0  129914 136608 144944 0  155896 155554 159122 0  181879 171709 169386 0  207862 185073 176175 0  233844 195645 179927 0  259827 203425 181079 0  285810 208414 180072 0 
 0 0 0 0  33100.6 39737.6 60205.3 0  66201.3 75982 113072 0  99301.9 108733 159138 0  132403 137991 198938 0  165503 163756 233010 0  198604 186027 261891 0  231704 204805 286116 0  264805 220090 306223 0  297906 231882 322748 0  331006 240181 336228 0  364107 244986 347199 0 
 0 0 0 0  31572.7 40382.1 50136 0  63145.4 77366.5 92862.2 0  94718 110953 128709 0  126291 141142 158209 0  157863 167932 181891 0  189436 191325 200287 0  221009 211321 213928 0  252581 227918 223344 0  284154 241117 229067 0  315727 250919 231628 0  347299 257323 231556 0 
 0 0 0 0  31346.4 41005.5 50671.1 0  62692.8 78613.7 93808.9 0  94039.2 112825 129949 0  125386 143638 159625 0  156732 171054 183375 0  188078 195073 201731 0  219425 215695 215231 0  250771 232919 224409 0  282118 246746 229800 0  313464 257176 231939 0  344810 264208 231363 0 
 0 0 0 0  32773.9 41493.1 51026.7 0  65547.8 79460.1 94401.2 0  98321.7 113901 130675 0  131096 144816 160398 0  163869 172204 184123 0  196643 196067 202401 0  229417 216403 215782 0  262191 233214 224819 0  294965 246498 230062 0  327739 256256 232063 0  360513 262488 231373 0 
 0 0 0 0  33163.3 45674.3 62200.5 0  66326.6 87795.8 116340 0  99489.8 126364 162974 0  132653 161380 202660 0  165816 192843 235953 0  198980 220753 263409 0  232143 245110 285585 0  265306 265914 303036 0  298470 283166 316319 0  331633 296864 325989 0  364796 307010 332604 0 
 0 0 0 0  36183.4 50925.1 63818.8 0  72366.7 97942.4 118509 0  108550 141052 164688 0  144733 180254 202974 0  180917 215548 233984 0  217100 246934 258336 0  253284 274412 276648 0  289467 297983 289537 0  325650 317646 297620 0  361834 333401 301517 0  398017 345248 301844 0 
 0 0 0 0  40455.5 55574.2 71378.3 0  80911 106761 132703 0  121367 153560 184670 0  161822 195972 227972 0  202278 233996 263306 0  242733 267632 291367 0  283189 296881 312848 0  323644 321742 328445 0  364100 342216 338852 0  404555 358302 344765 0  445011 370000 346879 0 
 0 0 0 0  37017.8 50679.3 58850.8 0  74035.6 97329.9 108449 0  111053 139952 149435 0  148071 178544 182446 0  185089 213109 208123 0  222107 243644 227106 0  259124 270150 240032 0  296142 292628 247543 0  333160 311077 250277 0  370178 325497 248873 0  407196 335888 243971 0 
 0 0 0 0  38129.8 51765.4 62375.3 0  76259.5 99394.5 115340 0  114389 142887 159548 0  152519 182244 195650 0  190649 217464 224302 0  228779 248549 246154 0  266908 275497 261861 0  305038 298308 272075 0  343168 316984 277449 0  381298 331523 278637 0  419427 341926 276290 0 
 0 0 0 0  33500.9 45857.3 58517.7 0  67001.7 88073.3 108744 0  100503 126648 151256 0  134003 161582 186631 0  167504 192875 215444 0  201005 220526 238273 0  234506 244536 255694 0  268007 264905 268284 0  301508 281633 276619 0  335009 294720 281277 0  368510 304165 282833 0 
 0 0 0 0  29096.7 37888.5 43563.7 0  58193.5 72621.8 80102.1 0  87290.2 104200 110114 0  116387 132622 134097 0  145484 157890 152551 0  174580 180002 165974 0  203677 198958 174864 0  232774 214760 179721 0  261871 227406 181043 0  290967 236897 179328 0  320064 243232 175075 0 
 0 0 0 0  35680.9 48355.3 58361.1 0  71361.8 92880.9 108008 0  107043 133577 149542 0  142724 170442 183564 0  178404 203479 210674 0  214085 232685 231475 0  249766 258061 246566 0  285447 279608 256550 0  321128 297325 262026 0  356809 311212 263596 0  392490 321269 261862 0 
 0 0 0 0  37726.2 51896.3 61369.9 0  75452.4 99717 113396 0  113179 143462 156720 0  150905 183132 191983 0  188631 218726 219825 0  226357 250244 240889 0  264084 277687 255816 0  301810 301055 265246 0  339536 320346 269822 0  377262 335563 270183 0  414988 346703 266972 0 
 0 0 0 0  35061.6 49472.1 59569.8 0  70123.1 95142.6 110201 0  105185 137011 152496 0  140246 175079 187059 0  175308 209344 214494 0  210369 239808 235403 0  245431 266471 250389 0  280493 289332 260057 0  315554 308391 265008 0  350616 323648 265848 0  385677 335104 263178 0 
 0 0 0 0  30683.8 41841.8 47414.6 0  61367.5 80354.2 87144.9 0  92051.3 115537 119720 0  122735 147391 145670 0  153419 175915 165525 0  184103 201109 179813 0  214786 222975 189063 0  245470 241511 193807 0  276154 256717 194572 0  306838 268594 191889 0  337521 277142 186287 0 
 0 0 0 0  29034.8 40733.3 46930.1 0  58069.6 78306.2 86382.5 0  87104.4 112719 118863 0  116139 143971 144879 0  145174 172063 164934 0  174209 196994 179537 0  203243 218766 189191 0  232278 237377 194405 0  261313 252827 195683 0  290348 265117 193531 0  319383 274247 188457 0 
 0 0 0 0  44523.4 56196.7 62964.2 0  89046.8 107568 115352 0  133570 154114 157926 0  178094 195834 191447 0  222617 232728 216676 0  267140 264797 234376 0  311664 292041 245309 0  356187 314459 250236 0  400710 332051 249918 0  445234 344818 245117 0  489757 352760 236596 0 
 0 0 0 0  33667.6 46705.9 52520.9 0  67335.3 89731.8 96442.5 0  101003 129078 132353 0  134671 164744 160841 0  168338 196730 182494 0  202006 225036 197902 0  235674 249662 207651 0  269341 270607 212330 0  303009 287873 212528 0  336676 301459 208833 0  370344 311365 201832 0 
 0 0 0 0  32538.6 43117.9 48388.2 0  65077.2 82648 88701.3 0  97615.8 118590 121514 0  130154 150945 147401 0  162693 179712 166938 0  195232 204891 180698 0  227770 226483 189257 0  260309 244487 193190 0  292847 258903 193071 0  325386 269731 189475 0  357925 276972 182977 0 
 0 0 0 0  42922.9 56735.7 66201.6 0  85845.7 108793 121909 0  128769 156172 167863 0  171691 198873 204808 0  214614 236895 233485 0  257537 270239 254635 0  300460 298904 269002 0  343383 322891 277327 0  386306 342200 280353 0  429229 356831 278822 0  472152 366783 273475 0 
 0 0 0 0  34472.5 47852.8 55280.4 0  68945 91935.1 101710 0  103418 132247 139895 0  137890 168788 170440 0  172363 201559 193951 0  206835 230560 211034 0  241308 255790 222293 0  275780 277249 228335 0  310253 294939 229765 0  344725 308857 227189 0  379198 319005 221211 0 
 0 0 0 0  49867.2 64868.5 73428.6 0  99734.4 124257 134619 0  149602 178164 184449 0  199469 226592 223793 0  249336 269539 253529 0  299203 307006 274533 0  349070 338992 287681 0  398938 365498 293849 0  448805 386524 293915 0  498672 402070 288753 0  548539 412135 279242 0 
 0 0 0 0  36519.8 48091.7 53261.2 0  73039.7 92183.4 97453.9 0  109559 132275 133220 0  146079 168366 161200 0  182599 200458 182036 0  219119 228549 196370 0  255639 252640 204843 0  292159 272731 208097 0  328678 288821 206772 0  365198 300912 201511 0  401718 309003 192954 0 
 0 0 0 0  38836.3 50732.2 56103.4 0  77672.5 97256.6 102697 0  116509 139573 140449 0  155345 177682 170029 0  194181 211583 192106 0  233018 241276 207349 0  271854 266761 216427 0  310690 288039 220009 0  349526 305109 218764 0  388363 317970 213361 0  427199 326624 204469 0 
 0 0 0 0  42995.7 55108.3 59173.5 0  85991.3 105600 108072 0  128987 151474 147423 0  171983 192732 177952 0  214978 229373 200385 0  257974 261398 215451 0  300970 288805 223875 0  343965 311596 226383 0  386961 329770 223703 0  429957 343327 216562 0  472952 352267 205684 0 
 0 0 0 0  42807.8 54158.6 57623.9 0  85615.5 103665 105006 0  128423 148518 142885 0  171231 188719 171996 0  214039 224267 193078 0  256847 255163 206868 0  299654 281406 214104 0  342462 302996 215522 0  385270 319934 211860 0  428078 332220 203856 0  470885 339852 192247 0 
 0 0 0 0  43995.1 55472 62460.1 0  87990.2 106174 114427 0  131985 152105 156655 0  175980 193266 189900 0  219975 229657 214918 0  263971 261278 232463 0  307966 288128 243291 0  351961 310208 248157 0  395956 327518 247816 0  439951 340058 243024 0  483946 347827 234535 0 
 0 0 0 0  39818.7 50427.7 53922.8 0  79637.4 96513.5 98267.2 0  119456 138257 133724 0  159275 175659 160983 0  199094 208719 180737 0  238912 237437 193674 0  278731 261813 200487 0  318550 281846 201865 0  358368 297538 198499 0  398187 308888 191081 0  438006 315896 180300 0 
 0 0 0 0  40672.4 50500.8 54780 0  81344.7 96570.5 99923.1 0  122017 138209 136133 0  162689 175416 164113 0  203362 208193 184566 0  244034 236538 198196 0  284707 260452 205706 0  325379 279934 207800 0  366051 294986 205181 0  406724 305606 198552 0  447396 311796 188617 0 
 0 0 0 0  37045 48899.2 57309.8 0  74090 93773.7 105461 0  111135 134624 145096 0  148180 171449 176857 0  185225 204249 201384 0  222270 233025 219320 0  259315 257776 231307 0  296360 278502 237987 0  333405 295204 240000 0  370450 307881 237989 0  407495 316533 232597 0 
 0 0 0 0  33850.9 46253.2 51586.1 0  67701.8 88825.7 94590.4 0  101553 127717 129602 0  135404 162928 157208 0  169255 194459 177999 0  203105 222308 192562 0  236956 246477 201487 0  270807 266965 205362 0  304658 283772 204776 0  338509 296898 200316 0  372360 306344 192573 0 
 0 0 0 0  41862.3 58751.4 70297.3 0  83724.6 112971 129838 0  125587 162657 179347 0  167449 207812 219548 0  209311 248434 251165 0  251174 284525 274922 0  293036 316082 291544 0  334898 343108 301754 0  376761 365601 306277 0  418623 383562 305836 0  460485 396991 301157 0 
 0 0 0 0  38791.7 55186.6 65772.6 0  77583.4 106161 121504 0  116375 152923 167868 0  155167 195474 205538 0  193959 233812 235189 0  232750 267938 257494 0  271542 297852 273127 0  310334 323553 282762 0  349125 345043 287073 0  387917 362321 286735 0  426709 375386 282420 0 
 0 0 0 0  36411.2 51583.5 61918.7 0  72822.4 99201.1 114436 0  109234 142853 158187 0  145645 182539 193804 0  182056 218259 221921 0  218467 250013 243171 0  254878 277802 258189 0  291290 301625 267608 0  327701 321482 272062 0  364112 337373 272184 0  400523 349298 268608 0 
 0 0 0 0  35486.1 50496.5 59650.2 0  70972.1 97101 110026 0  106458 139814 151755 0  141944 178634 185462 0  177430 213563 211776 0  212916 244600 231321 0  248402 271745 244726 0  283888 294998 252617 0  319375 314359 255620 0  354861 329828 254362 0  390347 341405 249470 0 
 0 0 0 0  31598.8 47393.5 57940.3 0  63197.7 91289.1 107253 0  94796.5 131687 148506 0  126395 168587 182267 0  157994 201989 209106 0  189593 231894 229589 0  221192 258300 244285 0  252791 281209 253763 0  284389 300620 258591 0  315988 316533 259337 0  347587 328949 256568 0 
 0 0 0 0  33797.4 49513.3 60613.5 0  67594.7 95410.6 112375 0  101392 137692 155860 0  135189 176357 191645 0  168987 211407 220306 0  202784 242840 242418 0  236582 270657 258556 0  270379 294859 269298 0  304176 315444 275219 0  337974 332414 276894 0  371771 345767 274899 0 
 0 0 0 0  34015.5 48896.8 57661.3 0  68031 94145.4 106493 0  102047 135746 147076 0  136062 173698 179993 0  170078 208002 205824 0  204093 238657 225152 0  238109 265665 238557 0  272124 289024 246621 0  306140 308734 249927 0  340155 324797 249054 0  374171 337211 244586 0 
 0 0 0 0  37209.8 53318.2 65150.5 0  74419.7 102593 120618 0  111630 147824 167051 0  148839 189011 205095 0  186049 226155 235399 0  223259 259255 258609 0  260469 288311 275373 0  297679 313324 286339 0  334889 334293 292153 0  372098 351219 293463 0  409308 364101 290917 0 
 0 0 0 0  30508.3 46386.1 55659.3 0  61016.7 89388.8 102976 0  91525 129008 142496 0  122033 165244 174769 0  152542 198097 200341 0  183050 227566 219760 0  213558 253652 233573 0  244067 276354 242328 0  274575 295673 246573 0  305083 311609 246855 0  335592 324161 243721 0 
 0 0 0 0  29098.9 39440.3 47496.9 0  58197.8 75711.5 87722.1 0  87296.8 108814 121180 0  116396 138747 148375 0  145495 165511 169810 0  174594 189106 185991 0  203692 209532 197422 0  232791 226788 204606 0  261890 240876 208049 0  290989 251795 208254 0  320088 259544 205725 0 
 0 0 0 0  43721.4 56477.1 62302.3 0  87442.7 108249 114166 0  131164 155315 156328 0  174885 197677 189527 0  218607 235333 214501 0  262328 268283 231987 0  306050 296529 242724 0  349771 320069 247448 0  393492 338903 246898 0  437214 353033 241812 0  480935 362457 232927 0 
 0 0 0 0  36173.2 45850.2 51315.7 0  72346.5 87793.2 94021.7 0  108520 125829 128734 0  144693 159957 156070 0  180866 190178 176644 0  217039 216492 191075 0  253213 238898 199977 0  289386 257398 203967 0  325559 271990 203662 0  361732 282674 199678 0  397906 289451 192631 0 
 0 0 0 0  33620.1 44155.8 49408.1 0  67240.2 84711.1 90690.7 0  100860 121666 124414 0  134480 155020 151142 0  168101 184773 171443 0  201721 210926 185880 0  235341 233479 195021 0  268961 252431 199431 0  302581 267782 199674 0  336201 279533 196318 0  369821 287683 189928 0 
 0 0 0 0  29853.4 39470.7 45800.7 0  59706.9 75695.4 84253.3 0  89560.3 108674 115873 0  119414 138406 141176 0  149267 164893 160676 0  179121 188133 174891 0  208974 208128 184334 0  238828 224876 189521 0  268681 238378 190967 0  298534 248634 189189 0  328388 255644 184701 0 
 0 0 0 0  35465.1 45563.5 50118.6 0  70930.3 87274.6 91673.7 0  106395 125133 125276 0  141861 159140 151536 0  177326 189294 171065 0  212791 215596 184473 0  248256 238046 192371 0  283721 256643 195369 0  319186 271388 194079 0  354651 282281 189111 0  390116 289321 181076 0 
 0 0 0 0  41604.6 53418.1 58587.3 0  83209.2 102266 107015 0  124814 146543 146015 0  166418 186250 176316 0  208023 221386 198651 0  249628 251952 213749 0  291232 277947 222342 0  332837 299372 225161 0  374441 316226 222936 0  416046 328510 216398 0  457651 336223 206278 0 
 0 0 0 0  45756.6 59803.4 69870.3 0  91513.1 114609 128588 0  137270 164416 176947 0  183026 209226 215741 0  228783 249037 245764 0  274539 283851 267808 0  320296 313666 282667 0  366053 338484 291135 0  411809 358304 294006 0  457566 373125 292073 0  503322 382949 286129 0 
 0 0 0 0  41286.3 54202 64414.2 0  82572.6 103910 118708 0  123859 149125 163597 0  165145 189845 199796 0  206431 226072 228020 0  247718 257806 248985 0  289004 285045 263405 0  330290 307791 271996 0  371577 326042 275473 0  412863 339800 274551 0  454149 349065 269944 0 
 0 0 0 0  34747.6 49479.3 65107.1 0  69495.3 95186.3 121248 0  104243 137121 169023 0  138991 175283 209033 0  173738 209674 241880 0  208486 240292 268165 0  243233 267137 288489 0  277981 290211 303453 0  312729 309512 313658 0  347476 325041 319705 0  382224 336798 322195 0 
 0 0 0 0  30183.1 42602.7 51883.4 0  60366.3 81914.2 96035 0  90549.4 117934 132979 0  120733 150663 163239 0  150916 180101 187340 0  181099 206247 205805 0  211282 229102 219159 0  241465 248666 227925 0  271648 264939 232628 0  301831 277920 233793 0  332015 287610 231942 0 
