Virgin_Spawning_Biomass Spawning_Biomass_1971  SpBiom_2004_1 SpBiom_2005_1 SpBiom_2006_1 SpBiom_2007_1  SpBiom_2004_2 SpBiom_2005_2 SpBiom_2006_2 SpBiom_2007_2  SpBiom_2004_3 SpBiom_2005_3 SpBiom_2006_3 SpBiom_2007_3  SpBiom_2004_4 SpBiom_2005_4 SpBiom_2006_4 SpBiom_2007_4  SpBiom_2004_5 SpBiom_2005_5 SpBiom_2006_5 SpBiom_2007_5  SpBiom_2004_6 SpBiom_2005_6 SpBiom_2006_6 SpBiom_2007_6  SpBiom_2004_7 SpBiom_2005_7 SpBiom_2006_7 SpBiom_2007_7  SpBiom_2004_8 SpBiom_2005_8 SpBiom_2006_8 SpBiom_2007_8  SpBiom_2004_9 SpBiom_2005_9 SpBiom_2006_9 SpBiom_2007_9  SpBiom_2004_10 SpBiom_2005_10 SpBiom_2006_10 SpBiom_2007_10  SpBiom_2004_11 SpBiom_2005_11 SpBiom_2006_11 SpBiom_2007_11  SpBiom_2004_12 SpBiom_2005_12 SpBiom_2006_12 SpBiom_2007_12  
8.97848e+006 1.40189e+006  1.13565e+006 1.34804e+006 1.59628e+006 2.21711e+006  1.13565e+006 1.29694e+006 1.47682e+006 2.01783e+006  1.13565e+006 1.24584e+006 1.36262e+006 1.83568e+006  1.13565e+006 1.19474e+006 1.25369e+006 1.66986e+006  1.13565e+006 1.14364e+006 1.15004e+006 1.51955e+006  1.13565e+006 1.09254e+006 1.05165e+006 1.38396e+006  1.13565e+006 1.04144e+006 958536 1.26226e+006  1.13565e+006 990337 870690 1.15366e+006  1.13565e+006 939238 788115 1.05735e+006  1.13565e+006 888138 710810 972505  1.13565e+006 837038 638774 898333  1.13565e+006 785938 572009 834022 
9.67165e+006 1.31629e+006  1.10866e+006 1.29269e+006 1.53088e+006 1.77048e+006  1.10866e+006 1.24374e+006 1.41551e+006 1.58019e+006  1.10866e+006 1.19479e+006 1.30521e+006 1.40646e+006  1.10866e+006 1.14583e+006 1.19997e+006 1.24851e+006  1.10866e+006 1.09688e+006 1.0998e+006 1.10556e+006  1.10866e+006 1.04793e+006 1.0047e+006 976834  1.10866e+006 998978 914659 861553  1.10866e+006 950025 829689 758939  1.10866e+006 901073 749785 668214  1.10866e+006 852121 674947 588600  1.10866e+006 803169 605176 519319  1.10866e+006 754217 540472 459593 
8.47903e+006 1.33815e+006  958672 1.09272e+006 1.45023e+006 1.58444e+006  958672 1.04864e+006 1.34695e+006 1.41264e+006  958672 1.00456e+006 1.2483e+006 1.25577e+006  958672 960483 1.15429e+006 1.11311e+006  958672 916404 1.06492e+006 983962  958672 872324 980183 867596  958672 828244 900083 763300  958672 784164 824619 670360  958672 740084 753790 588060  958672 696005 687598 515685  958672 651925 626042 452519  958672 607845 569121 397847 
6.68328e+006 1.36958e+006  1.09124e+006 1.27487e+006 1.47136e+006 1.59684e+006  1.09124e+006 1.22327e+006 1.3526e+006 1.40514e+006  1.09124e+006 1.17166e+006 1.23926e+006 1.23072e+006  1.09124e+006 1.12006e+006 1.13136e+006 1.07275e+006  1.09124e+006 1.06845e+006 1.02888e+006 930386  1.09124e+006 1.01685e+006 931836 802799  1.09124e+006 965240 840216 689150  1.09124e+006 913635 754024 588604  1.09124e+006 862029 673259 500323  1.09124e+006 810424 597923 423473  1.09124e+006 758818 528014 357215  1.09124e+006 707213 463534 300714 
7.71244e+006 1.44531e+006  969571 1.18829e+006 1.46761e+006 1.70446e+006  969571 1.14166e+006 1.36003e+006 1.5265e+006  969571 1.09503e+006 1.25731e+006 1.36402e+006  969571 1.0484e+006 1.15946e+006 1.21629e+006  969571 1.00177e+006 1.06646e+006 1.08255e+006  969571 955135 978329 962068  969571 908505 895059 854089  969571 861875 816650 757872  969571 815245 743103 672673  969571 768615 674418 597745  969571 721985 610594 532345  969571 675354 551633 475727 
8.45435e+006 1.33385e+006  800748 966202 1.55044e+006 3.11031e+006  800748 928414 1.46111e+006 2.9473e+006  800748 890626 1.37571e+006 2.79696e+006  800748 852837 1.29425e+006 2.65869e+006  800748 815049 1.21672e+006 2.53189e+006  800748 777261 1.14314e+006 2.41596e+006  800748 739472 1.07349e+006 2.3103e+006  800748 701684 1.00778e+006 2.21429e+006  800748 663895 946010 2.12734e+006  800748 626107 888177 2.04884e+006  800748 588319 834282 1.97819e+006  800748 550530 784326 1.91479e+006 
7.65939e+006 1.29456e+006  819646 957883 1.35761e+006 1.61543e+006  819646 921174 1.27113e+006 1.46847e+006  819646 884465 1.18844e+006 1.3338e+006  819646 847756 1.10954e+006 1.21083e+006  819646 811047 1.03443e+006 1.09898e+006  819646 774338 963105 997684  819646 737629 895572 906349  819646 700920 831828 824399  819646 664211 771874 751255  819646 627501 715709 686337  819646 590792 663333 629065  819646 554083 614747 578860 
7.6452e+006 1.44261e+006  718686 829534 1.16864e+006 1.81337e+006  718686 796762 1.0921e+006 1.68199e+006  718686 763991 1.01895e+006 1.56152e+006  718686 731219 949211 1.45145e+006  718686 698448 882868 1.35125e+006  718686 665676 819925 1.26041e+006  718686 632905 760381 1.1784e+006  718686 600133 704236 1.10471e+006  718686 567362 651491 1.03882e+006  718686 534590 602146 980197  718686 501819 556200 928334  718686 469047 513654 882707 
8.3425e+006 1.56737e+006  751188 857706 1.05481e+006 1.13324e+006  751188 822243 975231 1.00512e+006  751188 786780 899302 888384  751188 751317 827026 782491  751188 715854 758403 686884  751188 680391 693434 601008  751188 644928 632119 524310  751188 609465 574456 456234  751188 574003 520447 396227  751188 538540 470092 343735  751188 503077 423390 298202  751188 467614 380341 259076 
9.19082e+006 1.56243e+006  615998 709741 1.10424e+006 1.47589e+006  615998 681723 1.03808e+006 1.36105e+006  615998 653704 974823 1.25559e+006  615998 625685 914473 1.15907e+006  615998 597666 857031 1.07104e+006  615998 569648 802496 991055  615998 541629 750868 918673  615998 513610 702147 853446  615998 485591 656334 794929  615998 457572 613428 742676  615998 429554 573429 696243  615998 401535 536337 655182 
8.91525e+006 1.57321e+006  847801 969980 1.46879e+006 2.40134e+006  847801 929336 1.37713e+006 2.24332e+006  847801 888692 1.28967e+006 2.0983e+006  847801 848048 1.20639e+006 1.96565e+006  847801 807404 1.1273e+006 1.84474e+006  847801 766761 1.05239e+006 1.73492e+006  847801 726117 981672 1.63557e+006  847801 685473 915140 1.54605e+006  847801 644829 852795 1.46574e+006  847801 604186 794637 1.39399e+006  847801 563542 740666 1.33018e+006  847801 522898 690882 1.27367e+006 
8.26168e+006 1.6089e+006  749639 877269 1.36355e+006 1.66375e+006  749639 840510 1.27928e+006 1.51851e+006  749639 803750 1.19885e+006 1.38532e+006  749639 766991 1.12226e+006 1.26361e+006  749639 730232 1.04951e+006 1.15278e+006  749639 693472 980590 1.05224e+006  749639 656713 915511 961424  749639 619953 854270 879730  749639 583194 796866 806574  749639 546435 743301 741372  749639 509675 693573 683536  749639 472916 647683 632481 
8.83146e+006 1.54042e+006  1.01324e+006 1.1782e+006 2.01097e+006 2.33763e+006  1.01324e+006 1.12965e+006 1.89843e+006 2.14102e+006  1.01324e+006 1.0811e+006 1.79094e+006 1.96038e+006  1.01324e+006 1.03256e+006 1.6885e+006 1.79493e+006  1.01324e+006 984011 1.59113e+006 1.64392e+006  1.01324e+006 935465 1.49881e+006 1.50655e+006  1.01324e+006 886918 1.41154e+006 1.38207e+006  1.01324e+006 838372 1.32934e+006 1.2697e+006  1.01324e+006 789826 1.25219e+006 1.16866e+006  1.01324e+006 741279 1.18009e+006 1.0782e+006  1.01324e+006 692733 1.11306e+006 997526  1.01324e+006 644187 1.05108e+006 925881 
9.56264e+006 1.48135e+006  1.12712e+006 1.28334e+006 1.90361e+006 2.397e+006  1.12712e+006 1.22831e+006 1.77874e+006 2.18581e+006  1.12712e+006 1.17328e+006 1.65965e+006 1.99261e+006  1.12712e+006 1.11825e+006 1.54633e+006 1.81652e+006  1.12712e+006 1.06322e+006 1.4388e+006 1.65665e+006  1.12712e+006 1.00819e+006 1.33704e+006 1.51213e+006  1.12712e+006 953164 1.24106e+006 1.38207e+006  1.12712e+006 898134 1.15086e+006 1.26559e+006  1.12712e+006 843104 1.06644e+006 1.1618e+006  1.12712e+006 788074 987800 1.06981e+006  1.12712e+006 733045 914937 988751  1.12712e+006 678015 847852 917733 
9.52196e+006 1.4112e+006  1.17451e+006 1.34811e+006 1.68808e+006 2.07232e+006  1.17451e+006 1.293e+006 1.56252e+006 1.86657e+006  1.17451e+006 1.23789e+006 1.44268e+006 1.67887e+006  1.17451e+006 1.18278e+006 1.32858e+006 1.50837e+006  1.17451e+006 1.12767e+006 1.2202e+006 1.35419e+006  1.17451e+006 1.07256e+006 1.11754e+006 1.21545e+006  1.17451e+006 1.01745e+006 1.02062e+006 1.09128e+006  1.17451e+006 962339 929416 980798  1.17451e+006 907230 843943 883141  1.17451e+006 852121 764196 797430  1.17451e+006 797011 690177 722789  1.17451e+006 741902 621884 658346 
8.97504e+006 1.39733e+006  1.26154e+006 1.44103e+006 1.77195e+006 2.0369e+006  1.26154e+006 1.38251e+006 1.63883e+006 1.82063e+006  1.26154e+006 1.324e+006 1.51178e+006 1.62349e+006  1.26154e+006 1.26548e+006 1.39078e+006 1.44454e+006  1.26154e+006 1.20697e+006 1.27583e+006 1.28288e+006  1.26154e+006 1.14845e+006 1.16695e+006 1.13757e+006  1.26154e+006 1.08994e+006 1.06412e+006 1.00769e+006  1.26154e+006 1.03142e+006 967346 892320  1.26154e+006 972908 876630 790531  1.26154e+006 914393 791971 701402  1.26154e+006 855878 713369 624009  1.26154e+006 797363 640823 557429 
9.31506e+006 1.43232e+006  1.10574e+006 1.26915e+006 1.46592e+006 2.05231e+006  1.10574e+006 1.21743e+006 1.34773e+006 1.85995e+006  1.10574e+006 1.16571e+006 1.23494e+006 1.68474e+006  1.10574e+006 1.11399e+006 1.12756e+006 1.52586e+006  1.10574e+006 1.06227e+006 1.02559e+006 1.38247e+006  1.10574e+006 1.01055e+006 929023 1.25374e+006  1.10574e+006 958824 837865 1.13884e+006  1.10574e+006 907103 752116 1.03694e+006  1.10574e+006 855382 671773 947220  1.10574e+006 803661 596838 868837  1.10574e+006 751940 527310 800964  1.10574e+006 700218 463190 742772 
9.45845e+006 1.42322e+006  1.1388e+006 1.33142e+006 1.55071e+006 1.76509e+006  1.1388e+006 1.27709e+006 1.42537e+006 1.56174e+006  1.1388e+006 1.22276e+006 1.30578e+006 1.37671e+006  1.1388e+006 1.16843e+006 1.19194e+006 1.20912e+006  1.1388e+006 1.11411e+006 1.08385e+006 1.05807e+006  1.1388e+006 1.05978e+006 981504 922670  1.1388e+006 1.00545e+006 884909 802040  1.1388e+006 951122 794063 695290  1.1388e+006 896794 708966 601528  1.1388e+006 842466 629617 519868  1.1388e+006 788138 556017 449420  1.1388e+006 733810 488165 389297 
9.70622e+006 1.40092e+006  1.03761e+006 1.19986e+006 1.50909e+006 2.15587e+006  1.03761e+006 1.15159e+006 1.39699e+006 1.96944e+006  1.03761e+006 1.10333e+006 1.28998e+006 1.79924e+006  1.03761e+006 1.05507e+006 1.18804e+006 1.64448e+006  1.03761e+006 1.0068e+006 1.09118e+006 1.50438e+006  1.03761e+006 958536 999392 1.37816e+006  1.03761e+006 910272 912683 1.26504e+006  1.03761e+006 862007 831051 1.16424e+006  1.03761e+006 813743 754496 1.07498e+006  1.03761e+006 765478 683018 996478  1.03761e+006 717214 616617 927953  1.03761e+006 668949 555293 868627 
9.94873e+006 1.3087e+006  1.17661e+006 1.37784e+006 1.87486e+006 2.37463e+006  1.17661e+006 1.32307e+006 1.74684e+006 2.15814e+006  1.17661e+006 1.26831e+006 1.62457e+006 1.96007e+006  1.17661e+006 1.21354e+006 1.50802e+006 1.77953e+006  1.17661e+006 1.15877e+006 1.39721e+006 1.61565e+006  1.17661e+006 1.104e+006 1.29213e+006 1.46755e+006  1.17661e+006 1.04924e+006 1.19279e+006 1.33435e+006  1.17661e+006 994468 1.09918e+006 1.21515e+006  1.17661e+006 939701 1.01131e+006 1.1091e+006  1.17661e+006 884934 929168 1.01529e+006  1.17661e+006 830166 852762 932855  1.17661e+006 775399 782091 860911 
9.79096e+006 1.37354e+006  1.36896e+006 1.60461e+006 2.38672e+006 2.65077e+006  1.36896e+006 1.53983e+006 2.23523e+006 2.39153e+006  1.36896e+006 1.47506e+006 2.09055e+006 2.15407e+006  1.36896e+006 1.41028e+006 1.95268e+006 1.93735e+006  1.36896e+006 1.34551e+006 1.82162e+006 1.74033e+006  1.36896e+006 1.28073e+006 1.69737e+006 1.56195e+006  1.36896e+006 1.21596e+006 1.57993e+006 1.40117e+006  1.36896e+006 1.15118e+006 1.4693e+006 1.25695e+006  1.36896e+006 1.08641e+006 1.36548e+006 1.12823e+006  1.36896e+006 1.02163e+006 1.26847e+006 1.01397e+006  1.36896e+006 956856 1.17827e+006 913130  1.36896e+006 892080 1.09488e+006 824651 
9.86124e+006 1.34942e+006  1.19306e+006 1.36779e+006 2.30783e+006 2.77847e+006  1.19306e+006 1.31169e+006 2.17708e+006 2.54918e+006  1.19306e+006 1.25559e+006 2.05217e+006 2.33851e+006  1.19306e+006 1.19948e+006 1.93312e+006 2.14555e+006  1.19306e+006 1.14338e+006 1.81991e+006 1.96942e+006  1.19306e+006 1.08728e+006 1.71254e+006 1.80922e+006  1.19306e+006 1.03117e+006 1.61103e+006 1.66405e+006  1.19306e+006 975069 1.51536e+006 1.53303e+006  1.19306e+006 918965 1.42554e+006 1.41524e+006  1.19306e+006 862861 1.34157e+006 1.30981e+006  1.19306e+006 806758 1.26344e+006 1.21584e+006  1.19306e+006 750654 1.19116e+006 1.13242e+006 
1.01511e+007 1.30656e+006  1.26593e+006 1.4519e+006 1.87034e+006 2.03153e+006  1.26593e+006 1.39241e+006 1.73426e+006 1.80848e+006  1.26593e+006 1.33293e+006 1.60437e+006 1.60502e+006  1.26593e+006 1.27345e+006 1.48068e+006 1.42022e+006  1.26593e+006 1.21396e+006 1.36319e+006 1.25311e+006  1.26593e+006 1.15448e+006 1.2519e+006 1.10276e+006  1.26593e+006 1.095e+006 1.14681e+006 968212  1.26593e+006 1.03552e+006 1.04791e+006 848521  1.26593e+006 976032 955213 742738  1.26593e+006 916549 868712 649915  1.26593e+006 857065 788410 569104  1.26593e+006 797582 714305 499356 
9.90068e+006 1.33698e+006  1.23556e+006 1.44093e+006 1.81758e+006 2.35357e+006  1.23556e+006 1.38489e+006 1.68545e+006 2.1327e+006  1.23556e+006 1.32885e+006 1.55918e+006 1.93083e+006  1.23556e+006 1.27281e+006 1.43877e+006 1.74707e+006  1.23556e+006 1.21677e+006 1.32421e+006 1.58051e+006  1.23556e+006 1.16073e+006 1.21552e+006 1.43024e+006  1.23556e+006 1.10469e+006 1.11269e+006 1.29538e+006  1.23556e+006 1.04865e+006 1.01571e+006 1.17502e+006  1.23556e+006 992613 924597 1.06825e+006  1.23556e+006 936574 839341 974174  1.23556e+006 880535 759944 891895  1.23556e+006 824496 686406 820511 
1.00602e+007 1.36737e+006  1.14036e+006 1.34341e+006 1.56646e+006 1.85482e+006  1.14036e+006 1.29662e+006 1.45026e+006 1.65887e+006  1.14036e+006 1.24984e+006 1.3389e+006 1.47953e+006  1.14036e+006 1.20305e+006 1.2324e+006 1.31604e+006  1.14036e+006 1.15627e+006 1.13075e+006 1.16767e+006  1.14036e+006 1.10948e+006 1.03395e+006 1.03365e+006  1.14036e+006 1.06269e+006 942005 913232  1.14036e+006 1.01591e+006 854909 805672  1.14036e+006 969122 772664 710213  1.14036e+006 922337 695271 626106  1.14036e+006 875551 622729 552598  1.14036e+006 828765 555038 488937 
1.00691e+007 1.40366e+006  1.31144e+006 1.50623e+006 1.70767e+006 2.218e+006  1.31144e+006 1.4478e+006 1.56938e+006 1.99126e+006  1.31144e+006 1.38937e+006 1.43723e+006 1.78457e+006  1.31144e+006 1.33094e+006 1.31121e+006 1.59698e+006  1.31144e+006 1.27251e+006 1.19133e+006 1.42755e+006  1.31144e+006 1.21408e+006 1.07759e+006 1.27533e+006  1.31144e+006 1.15565e+006 969992 1.13937e+006  1.31144e+006 1.09721e+006 868529 1.01873e+006  1.31144e+006 1.03878e+006 773205 912439  1.31144e+006 980352 684019 819566  1.31144e+006 921921 600971 739157  1.31144e+006 863490 524062 670264 
1.01436e+007 1.40314e+006  1.21099e+006 1.37829e+006 1.62494e+006 2.15385e+006  1.21099e+006 1.32264e+006 1.49465e+006 1.93946e+006  1.21099e+006 1.267e+006 1.37026e+006 1.7441e+006  1.21099e+006 1.21136e+006 1.25176e+006 1.56685e+006  1.21099e+006 1.15572e+006 1.13916e+006 1.4068e+006  1.21099e+006 1.10008e+006 1.03245e+006 1.26303e+006  1.21099e+006 1.04443e+006 931640 1.13464e+006  1.21099e+006 988793 836726 1.02071e+006  1.21099e+006 933151 747709 920316  1.21099e+006 877510 664587 832552  1.21099e+006 821868 587362 756503  1.21099e+006 766226 516032 691253 
1.02398e+007 1.3966e+006  1.17551e+006 1.35571e+006 1.51509e+006 1.73042e+006  1.17551e+006 1.30071e+006 1.38774e+006 1.52545e+006  1.17551e+006 1.24571e+006 1.26621e+006 1.33913e+006  1.17551e+006 1.19071e+006 1.15051e+006 1.17055e+006  1.17551e+006 1.13571e+006 1.04062e+006 1.0188e+006  1.17551e+006 1.08071e+006 936550 882998  1.17551e+006 1.02571e+006 838302 762229  1.17551e+006 970710 745874 655594  1.17551e+006 915711 659267 562194  1.17551e+006 860711 578479 481126  1.17551e+006 805711 503512 411489  1.17551e+006 750711 434365 352383 
1.0036e+007 1.2346e+006  1.2863e+006 1.46399e+006 1.59023e+006 1.82607e+006  1.2863e+006 1.40462e+006 1.45469e+006 1.61041e+006  1.2863e+006 1.34525e+006 1.32534e+006 1.4144e+006  1.2863e+006 1.28588e+006 1.20218e+006 1.2371e+006  1.2863e+006 1.22651e+006 1.08522e+006 1.07755e+006  1.2863e+006 1.16714e+006 974444 934795  1.2863e+006 1.10777e+006 869863 807898  1.2863e+006 1.0484e+006 771475 695907  1.2863e+006 989035 679278 597873  1.2863e+006 929665 593274 512846  1.2863e+006 870295 513461 439879  1.2863e+006 810925 439840 378021 
9.17444e+006 1.32154e+006  1.12016e+006 1.30879e+006 1.45897e+006 1.63936e+006  1.12016e+006 1.25701e+006 1.3384e+006 1.44473e+006  1.12016e+006 1.20523e+006 1.22327e+006 1.26761e+006  1.12016e+006 1.15345e+006 1.11359e+006 1.10718e+006  1.12016e+006 1.10168e+006 1.00935e+006 962598  1.12016e+006 1.0499e+006 910552 833016  1.12016e+006 998120 817198 717600  1.12016e+006 946342 729287 615509  1.12016e+006 894564 646819 525907  1.12016e+006 842786 569794 447953  1.12016e+006 791009 498212 380809  1.12016e+006 739231 432073 323636 
1.01062e+007 1.33334e+006  1.19802e+006 1.38501e+006 1.5476e+006 2.57466e+006  1.19802e+006 1.33445e+006 1.42513e+006 2.3683e+006  1.19802e+006 1.28388e+006 1.30792e+006 2.17954e+006  1.19802e+006 1.23331e+006 1.19595e+006 2.00758e+006  1.19802e+006 1.18274e+006 1.08923e+006 1.8516e+006  1.19802e+006 1.13217e+006 987771 1.71079e+006  1.19802e+006 1.0816e+006 891558 1.58433e+006  1.19802e+006 1.03103e+006 800596 1.47143e+006  1.19802e+006 980465 714885 1.37126e+006  1.19802e+006 929896 634425 1.28301e+006  1.19802e+006 879327 559216 1.20588e+006  1.19802e+006 828759 489259 1.13905e+006 
9.39127e+006 1.29434e+006  1.32694e+006 1.56403e+006 1.77598e+006 2.23582e+006  1.32694e+006 1.50696e+006 1.63714e+006 2.00466e+006  1.32694e+006 1.44989e+006 1.50428e+006 1.79352e+006  1.32694e+006 1.39282e+006 1.37739e+006 1.60146e+006  1.32694e+006 1.33576e+006 1.25647e+006 1.42758e+006  1.32694e+006 1.27869e+006 1.14153e+006 1.27093e+006  1.32694e+006 1.22162e+006 1.03256e+006 1.1306e+006  1.32694e+006 1.16455e+006 929560 1.00566e+006  1.32694e+006 1.10748e+006 832537 895188  1.32694e+006 1.05041e+006 741488 798253  1.32694e+006 993338 656412 713932  1.32694e+006 936269 577310 641300 
9.09566e+006 1.40336e+006  1.38849e+006 1.58401e+006 1.7829e+006 2.01694e+006  1.38849e+006 1.51809e+006 1.63273e+006 1.77728e+006  1.38849e+006 1.45217e+006 1.48951e+006 1.55957e+006  1.38849e+006 1.38624e+006 1.35324e+006 1.36272e+006  1.38849e+006 1.32032e+006 1.22394e+006 1.18567e+006  1.38849e+006 1.2544e+006 1.10158e+006 1.02735e+006  1.38849e+006 1.18847e+006 986186 886686  1.38849e+006 1.12255e+006 877744 762604  1.38849e+006 1.05663e+006 776257 654035  1.38849e+006 990704 681726 559908  1.38849e+006 924780 594150 479151  1.38849e+006 858857 513530 410694 
9.64812e+006 1.39322e+006  1.25548e+006 1.40649e+006 1.6507e+006 2.70557e+006  1.25548e+006 1.34902e+006 1.51888e+006 2.48843e+006  1.25548e+006 1.29156e+006 1.39306e+006 2.29035e+006  1.25548e+006 1.2341e+006 1.27324e+006 2.11041e+006  1.25548e+006 1.17663e+006 1.15942e+006 1.94769e+006  1.25548e+006 1.11917e+006 1.0516e+006 1.80128e+006  1.25548e+006 1.0617e+006 949778 1.67026e+006  1.25548e+006 1.00424e+006 853955 1.55369e+006  1.25548e+006 946774 764131 1.45067e+006  1.25548e+006 889310 680306 1.36028e+006  1.25548e+006 831845 602479 1.28159e+006  1.25548e+006 774381 530652 1.21369e+006 
7.77344e+006 1.27038e+006  1.42081e+006 1.66705e+006 1.83902e+006 2.12592e+006  1.42081e+006 1.604e+006 1.69118e+006 1.88512e+006  1.42081e+006 1.54095e+006 1.54985e+006 1.66554e+006  1.42081e+006 1.47789e+006 1.41502e+006 1.46619e+006  1.42081e+006 1.41484e+006 1.28671e+006 1.28608e+006  1.42081e+006 1.35179e+006 1.1649e+006 1.1242e+006  1.42081e+006 1.28874e+006 1.0496e+006 979553  1.42081e+006 1.22568e+006 940804 851151  1.42081e+006 1.16263e+006 838519 737992  1.42081e+006 1.09958e+006 742743 639079  1.42081e+006 1.03653e+006 653475 553415  1.42081e+006 973473 570714 480003 
7.05234e+006 1.32655e+006  1.23476e+006 1.46072e+006 1.6548e+006 3.38784e+006  1.23476e+006 1.40613e+006 1.52694e+006 3.16903e+006  1.23476e+006 1.35153e+006 1.40469e+006 2.96849e+006  1.23476e+006 1.29693e+006 1.28803e+006 2.78536e+006  1.23476e+006 1.24234e+006 1.17696e+006 2.6188e+006  1.23476e+006 1.18774e+006 1.0715e+006 2.46795e+006  1.23476e+006 1.13314e+006 971626 2.33195e+006  1.23476e+006 1.07855e+006 877353 2.20994e+006  1.23476e+006 1.02395e+006 788676 2.10108e+006  1.23476e+006 969352 705596 2.0045e+006  1.23476e+006 914755 628113 1.91935e+006  1.23476e+006 860159 556227 1.84477e+006 
7.32484e+006 1.38041e+006  1.29656e+006 1.585e+006 1.78443e+006 1.95284e+006  1.29656e+006 1.52939e+006 1.64829e+006 1.72514e+006  1.29656e+006 1.47378e+006 1.51791e+006 1.51697e+006  1.29656e+006 1.41817e+006 1.39329e+006 1.32743e+006  1.29656e+006 1.36256e+006 1.27443e+006 1.15564e+006  1.29656e+006 1.30694e+006 1.16133e+006 1.0007e+006  1.29656e+006 1.25133e+006 1.054e+006 861717  1.29656e+006 1.19572e+006 952424 737803  1.29656e+006 1.14011e+006 856613 628064  1.29656e+006 1.0845e+006 766564 531607  1.29656e+006 1.02889e+006 682277 447541  1.29656e+006 973275 603752 374971 
7.63196e+006 1.54833e+006  1.35227e+006 1.69186e+006 1.9756e+006 2.19473e+006  1.35227e+006 1.63516e+006 1.83414e+006 1.95322e+006  1.35227e+006 1.57845e+006 1.6985e+006 1.73183e+006  1.35227e+006 1.52175e+006 1.56869e+006 1.52966e+006  1.35227e+006 1.46504e+006 1.44471e+006 1.34581e+006  1.35227e+006 1.40834e+006 1.32655e+006 1.17937e+006  1.35227e+006 1.35163e+006 1.21423e+006 1.02944e+006  1.35227e+006 1.29493e+006 1.10773e+006 895123  1.35227e+006 1.23823e+006 1.00706e+006 775514  1.35227e+006 1.18152e+006 912216 669711  1.35227e+006 1.12482e+006 823201 576812  1.35227e+006 1.06811e+006 740014 495915 
9.22447e+006 1.40562e+006  1.64014e+006 2.11138e+006 2.52658e+006 2.82095e+006  1.64014e+006 2.04291e+006 2.35117e+006 2.51645e+006  1.64014e+006 1.97443e+006 2.18284e+006 2.23691e+006  1.64014e+006 1.90596e+006 2.02161e+006 1.98124e+006  1.64014e+006 1.83748e+006 1.86747e+006 1.74833e+006  1.64014e+006 1.76901e+006 1.72042e+006 1.53708e+006  1.64014e+006 1.70054e+006 1.58047e+006 1.34638e+006  1.64014e+006 1.63206e+006 1.4476e+006 1.17514e+006  1.64014e+006 1.56359e+006 1.32183e+006 1.02225e+006  1.64014e+006 1.49511e+006 1.20316e+006 886605  1.64014e+006 1.42664e+006 1.09157e+006 767102  1.64014e+006 1.35817e+006 987074 662638 
1.06068e+007 1.51978e+006  1.60723e+006 2.00056e+006 2.42374e+006 2.66671e+006  1.60723e+006 1.93182e+006 2.25132e+006 2.37163e+006  1.60723e+006 1.86308e+006 2.08608e+006 2.1013e+006  1.60723e+006 1.79434e+006 1.92804e+006 1.85459e+006  1.60723e+006 1.72559e+006 1.77719e+006 1.63038e+006  1.60723e+006 1.65685e+006 1.63352e+006 1.42755e+006  1.60723e+006 1.58811e+006 1.49704e+006 1.24499e+006  1.60723e+006 1.51937e+006 1.36776e+006 1.08158e+006  1.60723e+006 1.45062e+006 1.24566e+006 936195  1.60723e+006 1.38188e+006 1.13075e+006 807720  1.60723e+006 1.31314e+006 1.02303e+006 695037  1.60723e+006 1.2444e+006 922501 597028 
9.00966e+006 1.32336e+006  1.68543e+006 1.93312e+006 2.14907e+006 3.05171e+006  1.68543e+006 1.85395e+006 1.96644e+006 2.75419e+006  1.68543e+006 1.77478e+006 1.79219e+006 2.4835e+006  1.68543e+006 1.69561e+006 1.62632e+006 2.23833e+006  1.68543e+006 1.61643e+006 1.46882e+006 2.01739e+006  1.68543e+006 1.53726e+006 1.3197e+006 1.81938e+006  1.68543e+006 1.45809e+006 1.17896e+006 1.64299e+006  1.68543e+006 1.37891e+006 1.0466e+006 1.48693e+006  1.68543e+006 1.29974e+006 922609 1.34989e+006  1.68543e+006 1.22057e+006 806998 1.23058e+006  1.68543e+006 1.14139e+006 699765 1.12769e+006  1.68543e+006 1.06222e+006 600909 1.03992e+006 
6.82246e+006 1.46495e+006  1.60519e+006 1.91618e+006 2.16747e+006 2.33928e+006  1.60519e+006 1.84159e+006 1.99035e+006 2.04989e+006  1.60519e+006 1.767e+006 1.82115e+006 1.78645e+006  1.60519e+006 1.69241e+006 1.65989e+006 1.54772e+006  1.60519e+006 1.61782e+006 1.50655e+006 1.33247e+006  1.60519e+006 1.54323e+006 1.36115e+006 1.13946e+006  1.60519e+006 1.46864e+006 1.22367e+006 967453  1.60519e+006 1.39405e+006 1.09412e+006 815217  1.60519e+006 1.31946e+006 972503 681515  1.60519e+006 1.24487e+006 858812 565113  1.60519e+006 1.17028e+006 753050 464773  1.60519e+006 1.09569e+006 655217 379261 
