Virgin_Spawning_Biomass Spawning_Biomass_1971  SpBiom_2004_1 SpBiom_2005_1 SpBiom_2006_1 SpBiom_2007_1  SpBiom_2004_2 SpBiom_2005_2 SpBiom_2006_2 SpBiom_2007_2  SpBiom_2004_3 SpBiom_2005_3 SpBiom_2006_3 SpBiom_2007_3  SpBiom_2004_4 SpBiom_2005_4 SpBiom_2006_4 SpBiom_2007_4  SpBiom_2004_5 SpBiom_2005_5 SpBiom_2006_5 SpBiom_2007_5  SpBiom_2004_6 SpBiom_2005_6 SpBiom_2006_6 SpBiom_2007_6  SpBiom_2004_7 SpBiom_2005_7 SpBiom_2006_7 SpBiom_2007_7  SpBiom_2004_8 SpBiom_2005_8 SpBiom_2006_8 SpBiom_2007_8  SpBiom_2004_9 SpBiom_2005_9 SpBiom_2006_9 SpBiom_2007_9  SpBiom_2004_10 SpBiom_2005_10 SpBiom_2006_10 SpBiom_2007_10  SpBiom_2004_11 SpBiom_2005_11 SpBiom_2006_11 SpBiom_2007_11  SpBiom_2004_12 SpBiom_2005_12 SpBiom_2006_12 SpBiom_2007_12  
8.76038e+006 1.346e+006  854863 1.10827e+006 1.64363e+006 2.14072e+006  854863 1.06967e+006 1.5477e+006 1.96748e+006  854863 1.03106e+006 1.45577e+006 1.80779e+006  854863 992461 1.36783e+006 1.66103e+006  854863 953858 1.28389e+006 1.52659e+006  854863 915255 1.20395e+006 1.40385e+006  854863 876653 1.128e+006 1.2922e+006  854863 838050 1.05605e+006 1.19102e+006  854863 799447 988096 1.09969e+006  854863 760844 924136 1.01761e+006  854863 722241 864173 944142  854863 683639 808206 878685 
8.03823e+006 1.23981e+006  908811 1.0667e+006 2.50519e+006 3.28616e+006  908811 1.02243e+006 2.39785e+006 3.06944e+006  908811 978154 2.29513e+006 2.86774e+006  908811 933881 2.19703e+006 2.68035e+006  908811 889607 2.10354e+006 2.50658e+006  908811 845333 2.01467e+006 2.3457e+006  908811 801059 1.93041e+006 2.19702e+006  908811 756785 1.85077e+006 2.05982e+006  908811 712511 1.77574e+006 1.93341e+006  908811 668237 1.70533e+006 1.81707e+006  908811 623963 1.63953e+006 1.7101e+006  908811 579689 1.57835e+006 1.61179e+006 
9.38031e+006 1.30541e+006  1.08935e+006 1.24835e+006 2.01548e+006 2.37698e+006  1.08935e+006 1.19593e+006 1.89466e+006 2.16446e+006  1.08935e+006 1.14352e+006 1.77929e+006 1.96919e+006  1.08935e+006 1.09111e+006 1.66937e+006 1.79035e+006  1.08935e+006 1.03869e+006 1.5649e+006 1.6271e+006  1.08935e+006 986281 1.46588e+006 1.4786e+006  1.08935e+006 933868 1.37231e+006 1.34404e+006  1.08935e+006 881455 1.28419e+006 1.22257e+006  1.08935e+006 829041 1.20151e+006 1.11336e+006  1.08935e+006 776628 1.12429e+006 1.01558e+006  1.08935e+006 724215 1.05252e+006 928395  1.08935e+006 671801 986190 850979 
8.62852e+006 1.36035e+006  971157 1.14577e+006 1.63252e+006 1.84125e+006  971157 1.0993e+006 1.5234e+006 1.65576e+006  971157 1.05283e+006 1.41919e+006 1.48605e+006  971157 1.00636e+006 1.31992e+006 1.33136e+006  971157 959884 1.22557e+006 1.19092e+006  971157 913412 1.13614e+006 1.06399e+006  971157 866940 1.05164e+006 949788  971157 820469 972057 847570  971157 773997 897403 756572  971157 727525 827674 676035  971157 681053 762870 605199  971157 634582 702990 543305 
9.92663e+006 1.31953e+006  1.01554e+006 1.17691e+006 1.45206e+006 1.61582e+006  1.01554e+006 1.13026e+006 1.34212e+006 1.43437e+006  1.01554e+006 1.0836e+006 1.2371e+006 1.26887e+006  1.01554e+006 1.03694e+006 1.13701e+006 1.11859e+006  1.01554e+006 990285 1.04184e+006 982737  1.01554e+006 943628 951605 860566  1.01554e+006 896971 866291 751312  1.01554e+006 850314 785902 654211  1.01554e+006 803657 710440 568503  1.01554e+006 757001 639903 493424  1.01554e+006 710344 574292 428213  1.01554e+006 663687 513607 372108 
9.4904e+006 1.30923e+006  995791 1.16892e+006 1.55623e+006 1.83216e+006  995791 1.12267e+006 1.44701e+006 1.64818e+006  995791 1.07643e+006 1.34267e+006 1.47998e+006  995791 1.03018e+006 1.2432e+006 1.3268e+006  995791 983935 1.14859e+006 1.1879e+006  995791 937691 1.05887e+006 1.06253e+006  995791 891446 974008 949923  995791 845201 894021 849338  995791 798956 818907 760019  995791 752711 748663 681213  995791 706466 683291 612170  995791 660221 622790 552135 
9.81579e+006 1.39587e+006  1.20187e+006 1.3951e+006 1.837e+006 2.18746e+006  1.20187e+006 1.34009e+006 1.70919e+006 1.97406e+006  1.20187e+006 1.28508e+006 1.58707e+006 1.77893e+006  1.20187e+006 1.23006e+006 1.47065e+006 1.6012e+006  1.20187e+006 1.17505e+006 1.35991e+006 1.43999e+006  1.20187e+006 1.12004e+006 1.25486e+006 1.29443e+006  1.20187e+006 1.06503e+006 1.1555e+006 1.16366e+006  1.20187e+006 1.01002e+006 1.06184e+006 1.04681e+006  1.20187e+006 955009 973856 942997  1.20187e+006 899998 891566 851364  1.20187e+006 844987 814966 771037  1.20187e+006 789976 744056 701145 
9.57673e+006 1.37063e+006  1.06344e+006 1.2559e+006 1.8305e+006 2.00776e+006  1.06344e+006 1.20696e+006 1.71447e+006 1.80904e+006  1.06344e+006 1.15801e+006 1.60355e+006 1.62688e+006  1.06344e+006 1.10906e+006 1.49773e+006 1.46049e+006  1.06344e+006 1.06012e+006 1.39701e+006 1.3091e+006  1.06344e+006 1.01117e+006 1.3014e+006 1.17191e+006  1.06344e+006 962223 1.21089e+006 1.04815e+006  1.06344e+006 913276 1.12549e+006 937029  1.06344e+006 864330 1.04519e+006 837769  1.06344e+006 815383 970001 749584  1.06344e+006 766436 899912 671691  1.06344e+006 717489 834928 603309 
9.26131e+006 1.42255e+006  1.03723e+006 1.19221e+006 1.57179e+006 2.02164e+006  1.03723e+006 1.14375e+006 1.46088e+006 1.83694e+006  1.03723e+006 1.09529e+006 1.35498e+006 1.66815e+006  1.03723e+006 1.04683e+006 1.25411e+006 1.5145e+006  1.03723e+006 998370 1.15825e+006 1.37522e+006  1.03723e+006 949910 1.06742e+006 1.24955e+006  1.03723e+006 901449 981597 1.13673e+006  1.03723e+006 852989 900799 1.03598e+006  1.03723e+006 804528 825020 946538  1.03723e+006 756068 754260 867638  1.03723e+006 707607 688520 798513  1.03723e+006 659147 627799 738395 
8.69552e+006 1.38584e+006  1.03674e+006 1.17475e+006 1.37674e+006 1.72092e+006  1.03674e+006 1.12808e+006 1.26845e+006 1.54412e+006  1.03674e+006 1.08141e+006 1.16501e+006 1.38295e+006  1.03674e+006 1.03475e+006 1.06642e+006 1.23667e+006  1.03674e+006 988081 972695 1.10453e+006  1.03674e+006 941414 883821 985792  1.03674e+006 894747 799800 879700  1.03674e+006 848080 720634 785513  1.03674e+006 801413 646322 702484  1.03674e+006 754746 576865 629868  1.03674e+006 708079 512262 566920  1.03674e+006 661412 452513 512892 
